element 1,element 2,element 3,element 4,element 5,element 6,element 7,element 8,element 9,element 10,element 11,element 12,property
0.757706713,0.120042255,0.00480169,0.091232114,0.001920676,0.024008451,9.60E-05,9.60E-05,9.60E-05,0,0,0,0.763658971
0.760081505,0.161114533,0.014215988,0.056863953,0.006634128,0,0.000379093,0.00056864,0.00014216,0,0,0,0.761121843
0.760103819,0.213199852,0.009269559,0.005561735,0.009269559,0,0.000370782,0.001853912,0.000370782,0,0,0,0.740980655
0.760728866,0.124464801,0.000995718,0.101563278,0.000995718,0,9.96E-05,0.000149358,4.98E-05,0,0,0.010952903,0.766059903
0.761348401,0.162804061,0.009576709,0.057460257,0.007661368,0,0.000335185,0.000574603,0.000239418,0,0,0,0.762621431
0.762041697,0.143781452,0.00958543,0.057512581,0.006709801,0.01917086,0.000383417,0.00067098,0.000143781,0,0,0,0.770636273
0.762291832,0.16851705,0.012886598,0.049563838,0.004956384,0,0.000396511,0.001090404,0.000297383,0,0,0,0.763150522
0.762408002,0.207586337,0.009435743,0.004717871,0.009435743,0.004717871,0.000471787,0.000283072,0.000471787,0,0,0.000471787,0.748212788
0.763162897,0.161566242,0.009503897,0.05702338,0.007603117,0,0.000332636,0.000570234,0.000237597,0,0,0,0.766585636
0.763214925,0.164892113,0.009422406,0.051823236,0.009422406,0,0.000376896,0.000565344,0.000282672,0,0,0,0.766079138
0.763648437,0.16601053,0.009486316,0.052174738,0.007589053,0,0.000332021,0.000569179,0.000189726,0,0,0,0.766356791
0.76425181,0.206165796,0.009589107,0,0.009589107,0.009589107,0.000383564,0.000287673,0.000143837,0,0,0,0.752356365
0.767108606,0.130993966,0.001984757,0.084352175,0.000992379,0,9.92E-05,0.000496189,7.94E-05,0,0,0.013893299,0.779878648
0.768776436,0.200053348,0.00952635,0.00571581,0.00952635,0.00571581,0.000381054,0.000190527,0.000114316,0,0,0,0.763998968
0.77045749,0.124588857,0.000996711,0.094687531,0.000996711,0,9.97E-05,0.000149507,4.98E-05,0,0,0.007973687,0.786119915
0.771445592,0.158856235,0.012907069,0.049642573,0.004964257,0,0.000397141,0.001489277,0.000297855,0,0,0,0.784348116
0.774285039,0.141810447,0.00945403,0.066178208,0.004727015,0.002836209,0.000189081,0.000472701,4.73E-05,0,0,0,0.793610768
0.774562143,0.177952608,0.009365927,0.009365927,0.023414817,0,0.000374637,0.004682963,0.000280978,0,0,0,0.785812805
0.775059453,0.125164881,0.019256135,0.067396474,0.004814034,0.007702454,0.000385123,0.000192561,2.89E-05,0,0,0,0.800653229
0.775870246,0.175471877,0.009484966,0.004742483,0.014227449,0.004742483,0.000474248,0.000284549,0.000474248,0,0,0.014227449,0.788800854
0.779335359,0.142142927,0.00490148,0.068620723,0.002940888,0,0.000294089,0.000490148,0.000294089,0,0,0.000980296,0.802673198
0.781469123,0.188597128,0.009671648,0.009671648,0.009671648,0,0.000386866,0.000241791,0.000290149,0,0,0,0.793718979
0.781796407,0.182035928,0.009580838,0,0.013413174,0,0.000383234,0.001149701,0.000143713,0,0,0.011497006,0.797402849
0.782805212,0.197143819,0.009616772,0,0.009616772,0,0.000384671,0.000288503,0.000144252,0,0,0,0.792343774
0.783524904,0.191570881,0.009578544,0.004789272,0.009578544,0,0.000383142,0.000287356,0.000287356,0,0,0,0.796374237
